               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059223,           0.0080249,            0.023923,           0.0053519,             0.32003,           0.0045243,           0.0010392,            0.047437,           0.0062596,             0.02336,           0.0005568,           0.0005568,            0.041857
                   1,            0.041992,           0.0091118,            0.022259,            0.089073,             0.31969,            0.079661,            0.040641,            0.031997,           0.0056909,            0.021399,           0.0011164,           0.0011164,            0.033666
                   2,            0.033132,           0.0083407,            0.021262,             0.23963,             0.45345,             0.15009,            0.070972,            0.027608,           0.0046163,            0.020246,           0.0016745,           0.0016745,            0.025475
                   3,            0.031373,           0.0075028,            0.020649,             0.24029,             0.45204,             0.17373,            0.099168,            0.024706,           0.0042577,            0.019384,             0.00223,             0.00223,             0.01728
                   4,            0.029071,           0.0069617,            0.019896,             0.22531,             0.51917,             0.18726,             0.11537,            0.021756,           0.0037719,            0.018401,           0.0027816,           0.0027816,           0.0090816
                   5,            0.027306,           0.0064641,             0.01933,             0.22924,             0.49971,             0.21278,              0.1378,            0.020857,           0.0034068,            0.017795,           0.0031729,           0.0031729,           0.0031729
                   6,            0.025585,           0.0059211,            0.018708,             0.25499,             0.48978,             0.25055,             0.17108,            0.018781,            0.003154,            0.017072,           0.0031729,           0.0031729,           0.0031729
                   7,            0.024561,            0.005661,            0.018078,             0.25609,             0.49821,             0.27473,              0.1853,            0.018878,           0.0031586,            0.016278,           0.0031611,           0.0031611,           0.0031611
                   8,            0.023869,           0.0054984,            0.017489,             0.25652,             0.58049,             0.30938,             0.21613,            0.017918,           0.0028947,            0.015372,           0.0031471,           0.0031471,           0.0031471
                   9,            0.023499,           0.0054173,            0.016842,             0.30186,             0.58403,              0.3401,             0.23865,             0.01776,            0.002792,            0.014435,           0.0031311,           0.0031311,           0.0031311
                  10,            0.023233,           0.0052733,            0.016177,             0.30232,             0.62842,              0.3725,             0.26528,            0.017426,           0.0027106,            0.013623,            0.003113,            0.003113,            0.003113
                  11,            0.022606,           0.0052246,            0.015454,             0.45723,             0.54099,             0.40694,             0.28799,            0.017356,           0.0026578,            0.012977,           0.0030928,           0.0030928,           0.0030928
                  12,            0.022357,           0.0051568,            0.015141,              0.3808,              0.6283,             0.46291,             0.33132,            0.016901,           0.0026255,            0.012446,           0.0030707,           0.0030707,           0.0030707
                  13,            0.022083,            0.005201,            0.014729,             0.38958,             0.66258,             0.51063,             0.36662,             0.01676,           0.0025827,            0.011961,           0.0030465,           0.0030465,           0.0030465
                  14,            0.021858,           0.0050896,              0.0144,             0.51998,             0.63083,             0.54556,             0.39014,            0.016718,           0.0025772,            0.011554,           0.0030205,           0.0030205,           0.0030205
                  15,            0.021931,            0.005066,            0.014006,             0.55763,             0.62767,             0.57492,             0.40868,            0.016803,            0.002519,            0.011262,           0.0029925,           0.0029925,           0.0029925
                  16,            0.021572,           0.0050778,            0.013747,             0.53723,             0.65163,             0.61596,             0.44169,            0.016566,           0.0024993,            0.010785,           0.0029627,           0.0029627,           0.0029627
                  17,            0.021432,           0.0049607,            0.013372,              0.6277,             0.62351,             0.64793,             0.46163,            0.016566,           0.0024896,            0.010354,           0.0029311,           0.0029311,           0.0029311
                  18,            0.021346,           0.0049172,            0.013042,              0.6325,             0.63529,             0.68362,             0.49148,            0.016506,           0.0024915,           0.0099749,           0.0028977,           0.0028977,           0.0028977
                  19,            0.021402,           0.0047686,            0.012728,             0.62175,             0.70227,             0.72008,             0.52282,            0.016226,           0.0024267,           0.0094728,           0.0028627,           0.0028627,           0.0028627
                  20,            0.021116,           0.0048789,            0.012403,             0.68301,             0.68319,             0.74925,             0.54675,            0.016088,           0.0024362,           0.0090467,           0.0028259,           0.0028259,           0.0028259
                  21,            0.021125,           0.0048586,            0.011918,               0.703,             0.73073,             0.78072,             0.57574,            0.016241,           0.0024141,           0.0087199,           0.0027876,           0.0027876,           0.0027876
                  22,               0.021,            0.004871,             0.01179,             0.79738,              0.7128,             0.80349,             0.58435,            0.016105,           0.0024181,           0.0082972,           0.0027478,           0.0027478,           0.0027478
                  23,             0.02077,           0.0048355,            0.011302,              0.7904,             0.75014,             0.82279,             0.61047,              0.0158,           0.0023959,           0.0079851,           0.0027064,           0.0027064,           0.0027064
                  24,            0.021085,           0.0048525,            0.011273,              0.8224,             0.74616,             0.82845,             0.61196,             0.01598,           0.0023743,           0.0076614,           0.0026637,           0.0026637,           0.0026637
                  25,            0.020758,           0.0048292,            0.010944,             0.83379,             0.77077,             0.84582,              0.6243,             0.01591,           0.0023611,           0.0073098,           0.0026196,           0.0026196,           0.0026196
                  26,            0.020556,           0.0047748,            0.010483,              0.8426,             0.78049,             0.84665,             0.61759,            0.016123,           0.0023644,           0.0069551,           0.0025742,           0.0025742,           0.0025742
                  27,            0.020715,           0.0047281,            0.010218,             0.89544,             0.75379,             0.85636,             0.63561,            0.015787,           0.0023635,           0.0066347,           0.0025277,           0.0025277,           0.0025277
                  28,             0.02026,           0.0047723,            0.010092,             0.87262,             0.78354,             0.86616,             0.64072,            0.015849,             0.00235,           0.0062972,             0.00248,             0.00248,             0.00248
                  29,            0.020416,           0.0047365,           0.0096424,             0.88599,             0.78236,             0.87062,             0.64463,            0.015746,           0.0023614,           0.0060199,           0.0024312,           0.0024312,           0.0024312
                  30,            0.020116,           0.0046398,           0.0094593,             0.89298,             0.78478,             0.87557,             0.64735,            0.015653,           0.0023422,           0.0056793,           0.0023815,           0.0023815,           0.0023815
                  31,            0.020191,            0.004649,            0.009295,             0.86626,             0.81021,             0.87878,             0.65579,            0.015626,           0.0023326,            0.005569,           0.0023308,           0.0023308,           0.0023308
